sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.64,9.0,2.0,0.09782679260946728,106,3084
D7A,0.64,9.0,3.0,0.09158248659248204,106,3084
D7A,0.64,9.0,4.0,0.08784999139854482,106,3084
D7A,0.64,9.0,5.0,0.08534847246237935,106,3084
D7A,0.635,9.0,0.0,0.13805988566468713,106,3084
D7A,0.635,9.0,1.0,0.11053592872782647,106,3084
D7A,0.635,9.0,2.0,0.09782679260946728,106,3084
D7A,0.635,9.0,3.0,0.09158248659248204,106,3084
D7A,0.635,9.0,4.0,0.08784999139854482,106,3084
D7A,0.635,9.0,5.0,0.08534847246237935,106,3084
D7A,0.63,10.0,0.0,0.15990572358414545,99,2896
D7A,0.63,10.0,1.0,0.12797907772996084,99,2896
D7A,0.63,10.0,2.0,0.11325373412479933,99,2896
